Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Check Bet Increment,,,2019-02-27 19:15:21,2019-02-27 19:15:25,3.863s,FAILED
,,,,,,
Test Cases/Check Bet Increment,,,2019-02-27 19:15:21,2019-02-27 19:15:25,3.649s,FAILED
"response0 = sendRequestAndVerify(findTestObject(""Get_Session_Token""))",,,2019-02-27 19:15:22,2019-02-27 19:15:24,2.420s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""Login""))",,,2019-02-27 19:15:24,2019-02-27 19:15:25,0.970s,PASSED
login = new groovy.json.JsonSlurper(),,,2019-02-27 19:15:25,2019-02-27 19:15:25,0.001s,PASSED
login_rsult = login.parseText(response1.getResponseBodyContent()),,,2019-02-27 19:15:25,2019-02-27 19:15:25,0.002s,PASSED
denomination = bet_denominations,,,2019-02-27 19:15:25,2019-02-27 19:15:25,0.000s,PASSED
"println(""bet denomination is :"" + denomination)",,,2019-02-27 19:15:25,2019-02-27 19:15:25,0.000s,PASSED
arrayResponse = denomination,,,2019-02-27 19:15:25,2019-02-27 19:15:25,0.000s,PASSED
arrayExpect = bet_denomination,,,2019-02-27 19:15:25,2019-02-27 19:15:25,0.001s,PASSED
assert arrayResponse == arrayExpect,,,2019-02-27 19:15:25,2019-02-27 19:15:25,0.007s,FAILED
