Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Check Bet Increment,,,2019-02-27 19:12:21,2019-02-27 19:12:24,3.624s,FAILED
,,,,,,
Test Cases/Check Bet Increment,,,2019-02-27 19:12:21,2019-02-27 19:12:24,3.405s,FAILED
"response0 = sendRequestAndVerify(findTestObject(""Get_Session_Token""))",,,2019-02-27 19:12:21,2019-02-27 19:12:23,2.172s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""Login""))",,,2019-02-27 19:12:23,2019-02-27 19:12:24,0.951s,PASSED
login = new groovy.json.JsonSlurper(),,,2019-02-27 19:12:24,2019-02-27 19:12:24,0.001s,PASSED
login_rsult = login.parseText(response1.getResponseBodyContent()),,,2019-02-27 19:12:24,2019-02-27 19:12:24,0.002s,PASSED
denomination = bet_denominations,,,2019-02-27 19:12:24,2019-02-27 19:12:24,0.001s,PASSED
"println(""bet denomination is :"" + denomination)",,,2019-02-27 19:12:24,2019-02-27 19:12:24,0.001s,PASSED
arrayResponse = denomination,,,2019-02-27 19:12:24,2019-02-27 19:12:24,0.000s,PASSED
arrayExpect = bet_denomination,,,2019-02-27 19:12:24,2019-02-27 19:12:24,0.001s,PASSED
assert arrayResponse == arrayExpect,,,2019-02-27 19:12:24,2019-02-27 19:12:24,0.008s,FAILED
