Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Check Bet Increment,,,2019-02-27 18:18:07,2019-02-27 18:18:11,3.710s,FAILED
,,,,,,
Test Cases/Check Bet Increment,,,2019-02-27 18:18:07,2019-02-27 18:18:11,3.489s,FAILED
"response0 = sendRequestAndVerify(findTestObject(""Get_Session_Token""))",,,2019-02-27 18:18:07,2019-02-27 18:18:10,2.426s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""Login""))",,,2019-02-27 18:18:10,2019-02-27 18:18:11,0.776s,PASSED
login = new groovy.json.JsonSlurper(),,,2019-02-27 18:18:11,2019-02-27 18:18:11,0.000s,PASSED
login_rsult = login.parseText(response1.getResponseBodyContent()),,,2019-02-27 18:18:11,2019-02-27 18:18:11,0.001s,PASSED
denomination = bet_denominations,,,2019-02-27 18:18:11,2019-02-27 18:18:11,0.000s,PASSED
"println(""bet denomination is :"" + denomination)",,,2019-02-27 18:18:11,2019-02-27 18:18:11,0.001s,PASSED
assert denomination == bet_denomination,,,2019-02-27 18:18:11,2019-02-27 18:18:11,0.007s,FAILED
