Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Check Bet Increment,,,2019-02-27 19:13:11,2019-02-27 19:13:14,3.441s,FAILED
,,,,,,
Test Cases/Check Bet Increment,,,2019-02-27 19:13:11,2019-02-27 19:13:14,3.223s,FAILED
"response0 = sendRequestAndVerify(findTestObject(""Get_Session_Token""))",,,2019-02-27 19:13:11,2019-02-27 19:13:13,2.105s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""Login""))",,,2019-02-27 19:13:13,2019-02-27 19:13:14,0.807s,PASSED
login = new groovy.json.JsonSlurper(),,,2019-02-27 19:13:14,2019-02-27 19:13:14,0.001s,PASSED
login_rsult = login.parseText(response1.getResponseBodyContent()),,,2019-02-27 19:13:14,2019-02-27 19:13:14,0.001s,PASSED
denomination = bet_denominations,,,2019-02-27 19:13:14,2019-02-27 19:13:14,0.000s,PASSED
"println(""bet denomination is :"" + denomination)",,,2019-02-27 19:13:14,2019-02-27 19:13:14,0.001s,PASSED
arrayResponse = denomination,,,2019-02-27 19:13:14,2019-02-27 19:13:14,0.001s,PASSED
arrayExpect = bet_denomination,,,2019-02-27 19:13:14,2019-02-27 19:13:14,0.000s,PASSED
assert arrayResponse == arrayExpect,,,2019-02-27 19:13:14,2019-02-27 19:13:14,0.007s,FAILED
