Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Check Bet Increment,,,2019-02-27 18:28:32,2019-02-27 18:28:36,3.629s,FAILED
,,,,,,
Test Cases/Check Bet Increment,,,2019-02-27 18:28:32,2019-02-27 18:28:36,3.404s,FAILED
"response0 = sendRequestAndVerify(findTestObject(""Get_Session_Token""))",,,2019-02-27 18:28:33,2019-02-27 18:28:35,2.124s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""Login""))",,,2019-02-27 18:28:35,2019-02-27 18:28:36,0.989s,PASSED
login = new groovy.json.JsonSlurper(),,,2019-02-27 18:28:36,2019-02-27 18:28:36,0.000s,PASSED
login_rsult = login.parseText(response1.getResponseBodyContent()),,,2019-02-27 18:28:36,2019-02-27 18:28:36,0.001s,PASSED
denomination = bet_denominations,,,2019-02-27 18:28:36,2019-02-27 18:28:36,0.000s,PASSED
"println(""bet denomination is :"" + denomination)",,,2019-02-27 18:28:36,2019-02-27 18:28:36,0.001s,PASSED
assert denomination == bet_denomination,,,2019-02-27 18:28:36,2019-02-27 18:28:36,0.007s,FAILED
